Date,Capacity Utilization
2009-11-01,67.0015
2009-12-01,66.9885
2010-01-01,67.7922
2010-02-01,67.827
2010-03-01,68.8109
2010-04-01,69.5046
2010-05-01,70.5294
2010-06-01,70.6395
2010-07-01,71.1565
2010-08-01,71.3603
2010-09-01,71.4872
2010-10-01,71.6621
2010-11-01,71.868
2010-12-01,72.2958
2011-01-01,72.4294
2011-02-01,72.6194
2011-03-01,73.1296
2011-04-01,72.7784
2011-05-01,72.8177
2011-06-01,72.8918
2011-07-01,73.3307
2011-08-01,73.6453
2011-09-01,73.8004
2011-10-01,74.1182
2011-11-01,73.9334
2011-12-01,74.3542
2012-01-01,74.9046
2012-02-01,75.0774
2012-03-01,74.6163
2012-04-01,74.9302
2012-05-01,74.5567
2012-06-01,74.6641
2012-07-01,74.4297
2012-08-01,74.2434
2012-09-01,74.011
2012-10-01,73.789
2012-11-01,74.197
2012-12-01,74.6443
2013-01-01,74.3777
2013-02-01,74.6407
2013-03-01,74.5496
2013-04-01,74.2909
2013-05-01,74.4875
2013-06-01,74.5752
2013-07-01,74.0039
2013-08-01,74.6439
2013-09-01,74.7201
2013-10-01,74.8046
2013-11-01,74.8208
2013-12-01,74.7066
2014-01-01,73.9569
2014-02-01,74.6798
2014-03-01,75.3505
2014-04-01,75.3697
2014-05-01,75.6244
2014-06-01,75.9105
2014-07-01,76.3571
2014-08-01,75.9553
2014-09-01,76.0461
2014-10-01,76.0201
2014-11-01,76.5986
2014-12-01,76.5264
2015-01-01,76.2047
2015-02-01,75.7136
2015-03-01,76.0487
2015-04-01,76.0926
2015-05-01,76.1514
2015-06-01,75.9062
2015-07-01,76.5632
2015-08-01,76.2315
2015-09-01,75.9954
2015-10-01,75.9486
2015-11-01,75.6848
2015-12-01,75.4295
2016-01-01,75.7671
2016-02-01,75.4699
2016-03-01,75.3614
2016-04-01,75.1793
2016-05-01,75.1086
2016-06-01,75.1862
2016-07-01,75.3001
2016-08-01,74.9146
2016-09-01,75.0399
2016-10-01,75.1352
2016-11-01,75.0945
2016-12-01,75.1542
2017-01-01,75.4079
2017-02-01,75.379
2017-03-01,75.2656
2017-04-01,76.19
2017-05-01,76.1961
2017-06-01,76.2666
2017-07-01,76.2171
2017-08-01,76.089
2017-09-01,76.2045
2017-10-01,77.0841
2017-11-01,77.1624
2017-12-01,77.0313
2018-01-01,76.8009
2018-02-01,77.5258
2018-03-01,77.6486
2018-04-01,78.1294
2018-05-01,77.5005
2018-06-01,77.881
2018-07-01,78.0386
2018-08-01,78.1692
2018-09-01,78.1121
2018-10-01,77.6998
2018-11-01,77.3355
2018-12-01,77.4628
2019-01-01,76.8491
2019-02-01,76.4051
2019-03-01,76.3147
2019-04-01,75.7032
2019-05-01,75.7395
2019-06-01,75.883
2019-07-01,75.5645
2019-08-01,75.9633
2019-09-01,75.5008
2019-10-01,74.9731
2019-11-01,75.5607
2019-12-01,75.5997
2020-01-01,75.4859
2020-02-01,75.5139
2020-03-01,72.2027
2020-04-01,60.8142
2020-05-01,63.6778
2020-06-01,68.3408
2020-07-01,71.1509
2020-08-01,72.3083
2020-09-01,72.3867
2020-10-01,73.4897
2020-11-01,73.9657
2020-12-01,74.444
2021-01-01,75.5545
2021-02-01,72.7806
2021-03-01,75.2547
2021-04-01,75.0936
2021-05-01,75.7204
2021-06-01,75.4957
2021-07-01,76.7555
2021-08-01,76.4617
